Property Name,Location,BHK,Price,Status,Possession,Description
Abhee Celestial City,"Sarjapur Road, Bangalore East","2, 3 BHK Apartment",₹ 1.31 - 1.94 Cr,New Launch,Jun 2029,"Choose your dream home from the wide variety of 2,3 BHK apartments in Sarjapur Road, available for sale in Abhee Celestial City. Abhee Celestial City 's RERA registration number is PRM/KA/RERA/1251/308/PR/071123/006380. Apartment prices in this housing society vary in the range of Rs. 1.31"
Prabha Anahita,"Bara Nagar, Kolkata North","2, 3 BHK Apartment",₹ 47.78 - 92.37 L,New Launch,Aug 2029,"Finest 2,3 BHK apartments in Bara Nagar available for sale in Prabha Anahita. Prabha Anahita apartments are available in multiples sizes, ranging from 669 - 932 sq.ft. BUILTUP area. Prabha Anahita is a RERA- registered society and WBRERA/P/NOR/2024/002167 is the RERA registration number. P"
Metro Kings Court,"Jatni, Bhubaneswar",4 BHK Villa,₹ 1.37 - 2.1 Cr,Under Construction,Nov 2026,"Buy 4 BHK Villa for sale in Jatni in a gated society by Metro Kings Court. Metro Kings Court Villas are Under Construction. Children's Play Area, Jogging Track and Yoga/Meditation Area are some of the popular amenities offered here. Sizes of Villas vary in 2,100 - 2,580 sq.ft."
Vilas Palladio Kharadi Central Phase 2,"Kharadi, Pune East","2, 3, 4 BHK Apartment",₹ 1.1 - 2.9 Cr,New Launch,Dec 2028,"Vilas Palladio Kharadi Central Phase 2, one of the known housing societes in Pune East, brings classic yet modern 2,3,4 BHK apartments in Kharadi. Vilas Palladio Kharadi Central Phase 2 apartments are available in multiples sizes, ranging from 756 - 1,319 sq.ft. CARPET area. Apartment pric"
Provident Bayscape,"Vandalur Kelambakkam Road, Chennai South","2, 3 BHK Apartment",₹ 63.99 - 93.99 L,New Launch,Aug 2028,"Provident Bayscape, one of the known housing societes in Chennai South, brings classic yet modern 2,3 BHK apartments in Vandalur Kelambakkam Road. Apartments in Provident Bayscape have BUILTUP area ranging between 993 - 1,424 sq.ft.. Prices of apartments in this project, vary between Rs. 6"
Puraniks Abitante,"Bavdhan, Pune West","1, 2, 3 BHK Apartment | 1 RK Studio Apartment",₹ 50.49 L - 1.85 Cr,Under Construction,₹ 10076 / Sq.Ft. Dec 2030,"Check out 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Puraniks Abitante, one of the best offerings in Bavdhan. Property prices here start from Rs. 50.49 L. Swimming Pool, Gymnasium and Club House are some of the amenities offered here. Properties in Puraniks Abitante are sized"
Majestique Rhythm County,"Handewadi, Pune East","2, 3 BHK Apartment",₹ 51.57 - 71.34 L,Partially Ready To Move,₹ 7000 / Sq.Ft. Dec 2023,"Here are beautifully built 2,3 BHK apartments in Handewadi, available for sale at Majestique Rhythm County. Apartment prices in this housing society vary in the range of Rs. 51.57 - 71.34 L. Majestique Rhythm County apartments are available in multiples sizes, ranging from 668 - 892 sq.ft."
Raymond The Address by GS,"Bandra East, Western Mumbai","2, 3, 4 BHK Apartment",₹ 2.7 - 6.03 Cr,New Launch,Jan 2030,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Bandra East, available for sale in Raymond The Address by GS. Raymond The Address by GS 's RERA registration number is P51800054847. Here units have different sizes, mostly in range of 645 - 1,438 sq.ft. CARPET area. A"
Prestige Spring Heights,"Rajendra Nagar, Hyderabad","3, 4 BHK Apartment",₹ 1.2 - 2.47 Cr,New Launch,Mar 2030,"Here are beautifully built 3,4 BHK apartments in Rajendra Nagar, available for sale at Prestige Spring Heights. Prestige Spring Heights is a RERA- registered society and P02400009416 is the RERA registration number. Prestige Spring Heights apartments are available in multiples sizes, rangi"
Rustomjee Verdant Vistas,"Majiwada, Thane","3, 4 BHK Apartment",₹ 2.54 - 5.69 Cr,New Launch,Jul 2027,"Looking for your dream home? Explore 3,4 BHK apartments in Majiwada, now available in Rustomjee Verdant Vistas. This society offers apartments in the price range of Rs. 2.54 - 5.69 Cr. Rustomjee Verdant Vistas is a RERA- registered society and P51700077136 is the RERA registration number."
Renaissance The Baya Sunrise,"Dadar East, Mumbai South","1, 2 BHK Apartment",₹ 1.76 - 3.39 Cr,New Launch,Dec 2029,"Spacious 1,2 BHK apartments in Dadar East are available for sale.Check out latest property options at Renaissance The Baya Sunrise housing society. Prices of apartments in this project, vary between Rs. 1.76 - 3.39 Cr. This society is RERA approved and P51900055576 is the RERA number. Rena"
Paradise Sai World Dreams,"Dombivli East, Thane Outskirts","1, 2, 3 BHK Apartment",₹ 53.95 L - 1.72 Cr,Under Construction,Dec 2028,"Check out 1,2,3 BHK apartments in Dombivli East, now available for sale at Paradise Sai World Dreams. This society offers apartments in the price range of Rs. 53.95 L - 1.72 Cr. Here units have different sizes, mostly in range of 415.49 - 1,322 sq.ft. CARPET area. The housing society is RE"
Tej Elevia,"Baner, Pune West","2, 3, 4 BHK Apartment",₹ 1.06 - 2.29 Cr,Under Construction,₹ 14187 / Sq.Ft. Dec 2028,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Baner, available for sale in Tej Elevia. Here units have different sizes, mostly in range of 681 - 1,613 sq.ft. CARPET area. The housing society is RERA-registered with P52100018143 registration number. This society of"
Vaswani Starlight,"Whitefield, Bangalore East","3, 4 BHK Apartment",₹ 2.46 - 3.41 Cr,New Launch,Dec 2029,"Spacious 3,4 BHK apartments in Whitefield are available for sale.Check out latest property options at Vaswani Starlight housing society. This society is RERA approved and PRM/KA/RERA/1251/446/PR/180424/006808 is the RERA number. Prices of apartments in this project, vary between Rs. 2.46 -"
Merlion Orchids,"Bachupally, Hyderabad","2, 3 BHK Apartment",₹ 73.2 L - 1.03 Cr,New Launch,Jul 2026,"Choose your dream home from the wide variety of 2,3 BHK apartments in Bachupally, available for sale in Merlion Orchids. Apartments in this complex are available in price range of Rs. 73.2 L - 1.03 Cr. The housing society is RERA-registered with P02200007274 registration number. Merlion Or"
Casa Life by Bhavisha Homes,"Sarjapur Road, Bangalore East","3, 4 BHK Villa",₹ 2 - 3.97 Cr,New Launch,Dec 2025,"Casa Life by Bhavisha Homes brings 3,4 BHK Villa in Sarjapur Road, one of the preferred locations in the city. Villa size varies in the range of 1,901 - 3,889 sq.ft.. Casa Life by Bhavisha Homes Villas are New Launch. Villas here are available in the price range of Rs. 2 - 3.97 Cr"
Kamdhenu Pinnacle,"Nerul, Navi Mumbai","2, 3 BHK Apartment",₹ 1.82 - 2.24 Cr,New Launch,Dec 2029,"Kamdhenu Pinnacle society now offers elegantly built 2,3 BHK apartments in Nerul. Apartments in this complex are available in price range of Rs. 1.82 - 2.24 Cr. Kamdhenu Pinnacle 's RERA registration number is P51700077771. Kamdhenu Pinnacle apartments are available in multiples sizes, ran"
Ivory at Brigade Orchards,"Devanahalli, Bangalore North","2, 3 BHK Apartment",₹ 54 - 91.41 L,Under Construction,Dec 2025,"Ivory at Brigade Orchards society now offers elegantly built 2,3 BHK apartments in Devanahalli. Here units have different sizes, mostly in range of 552.83 - 880.7 sq.ft. CARPET area. This society is RERA approved and PRM/KA/RERA/1250/303/PR/220104/004626 is the RERA number. Prices of apart"
Nyati Esteban 2,"Undri, Pune South","2, 3 BHK Apartment",₹ 82 L - 1.2 Cr,New Launch,Sep 2027,"Spacious 2,3 BHK apartments in Undri are available for sale.Check out latest property options at Nyati Esteban 2 housing society. Nyati Esteban 2 apartments are available in multiples sizes, ranging from 838 - 1,214 sq.ft. CARPET area. Nyati Esteban 2 is a RERA- registered society and P521"
Sheth Promont,"Sion, Central Mumbai","2, 3 BHK Apartment",₹ 1.69 - 3.42 Cr,New Launch,Dec 2028,"Sheth Promont society now offers elegantly built 2,3 BHK apartments in Sion. Apartments in this complex are available in price range of Rs. 1.69 - 3.42 Cr. Here units have different sizes, mostly in range of 624 - 1,139 sq.ft. CARPET area. Sheth Promont is a RERA- registered society and P5"
Wildernest at SP Kingston,"Shewalewadi, Pune East","3, 4 BHK Apartment",₹ 1.84 - 2.3 Cr,New Launch,Jun 2027,"Here are beautifully built 3,4 BHK apartments in Shewalewadi, available for sale at Wildernest at SP Kingston. Wildernest at SP Kingston apartments are available in multiples sizes, ranging from 1,384.25 - 1,909 sq.ft. CARPET area. Apartment prices in this housing society vary in the range"
Dosti Greenscapes,"Hadapsar, Pune East","2, 3, 4 BHK Apartment",₹ 78.13 L - 1.82 Cr,Under Construction,Dec 2027,"Dosti Greenscapes, one of the known housing societes in Pune East, brings classic yet modern 2,3,4 BHK apartments in Hadapsar. Apartment prices in this housing society vary in the range of Rs. 78.13 L - 1.82 Cr. Dosti Greenscapes apartments are available in multiples sizes, ranging from 67"
Venus Planet,"Shela, Ahmedabad West",3 BHK Apartment,₹ 71.25 L,New Launch,Dec 2030,"Venus Planet, one of the known housing societes in Ahmedabad West, brings classic yet modern 3 BHK apartments in Shela. This society is RERA approved and PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14626/311224/311230 is the RERA number. This society offers apartments in the"
Altura,"PAL, Surat","2, 3, 4 BHK Apartment",Price on Request,New Launch,May 2029,"Spacious 2,3,4 BHK apartments in PAL are available for sale.Check out latest property options at Altura housing society. Altura is a RERA- registered society and PR/GJ/SURAT/CHORYASI/Surat Municipal Corporation/MAA13915/310724/310529 is the RERA registration number. Apartments in Altura ha"
Millennium Samriddhi,"Punawale, Pune West","2, 3 BHK Apartment",₹ 85 L - 1.15 Cr,New Launch,Dec 2029,"Here are beautifully built 2,3 BHK apartments in Punawale, available for sale at Millennium Samriddhi. Millennium Samriddhi 's RERA registration number is P52100076784. This society offers apartments in the price range of Rs. 85 L - 1.15 Cr. Here units have different sizes, mostly in range"
Satyam Stella,"Kopar Khairane, Navi Mumbai","2, 3 BHK Apartment",₹ 1.34 - 1.97 Cr,New Launch,Dec 2027,"Check out 2,3 BHK apartments in Kopar Khairane, now available for sale at Satyam Stella. Apartment prices in this housing society vary in the range of Rs. 1.34 - 1.97 Cr. Satyam Stella has apartments in multiple configurations, in range of 553.05 - 795.56 sq.ft.. Satyam Stella is a RERA- r"
Bhagwati Luxuria,"Sector 19 Kharghar, Navi Mumbai","2, 3 BHK Apartment",₹ 1.49 - 2.3 Cr,New Launch,Dec 2026,"Here are beautifully built 2,3 BHK apartments in Sector 19 Kharghar, available for sale at Bhagwati Luxuria. Here units have different sizes, mostly in range of 621 - 850 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 1.49 - 2.3 Cr. The housing society i"
Spring Grace,"IIM Road, Lucknow",Land,₹ 46.13 L - 1.16 Cr,New Launch,Dec 2025,"Looking for Land in IIM Road? Explore great investment options in Spring Grace. Spring Grace is New Launch. Sizes of these property options are in the bracket of 744 - 1,877 sq.ft.. Homebuyers can enjoy amenities such as Club House, Children's Play Area and Jogging Track in this project"
ARS Zurich,"Sompura, Bangalore East","2, 3 BHK Apartment",₹ 93 L - 1.66 Cr,New Launch,Dec 2026,"Beautiful 2,3 BHK apartments in Sompura, are now available in ARS Zurich housing project. The housing society is RERA-registered with PRM/KA/RERA/1251/308/PR/050225/007482 registration number. Apartments in this complex are available in price range of Rs. 93 L - 1.66 Cr. Here units have di"
Ruby Courtyard,"Padappai, Chennai South","2, 3 BHK Apartment",₹ 45.15 - 66.88 L,New Launch,Dec 2026,"Here are beautifully built 2,3 BHK apartments in Padappai, available for sale at Ruby Courtyard. Ruby Courtyard has apartments in multiple configurations, in range of 931 - 1,379 sq.ft.. Prices of apartments in this project, vary between Rs. 45.15 - 66.88 L. Apartments at Ruby Courtyard is"
DGS Sheetal Kiara,"Goregaon West, Western Mumbai","1, 2 BHK Apartment",₹ 97.1 L - 1.99 Cr,New Launch,Dec 2028,"DGS Sheetal Kiara society now offers elegantly built 1,2 BHK apartments in Goregaon West. DGS Sheetal Kiara apartments are available in multiples sizes, ranging from 323.77 - 666.82 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 97.1 L - 1.99 Cr. The housing soc"
Ashish ANR Row House,"Whitefield, Bangalore East",4 BHK Villa,₹ 2.88 - 3.13 Cr,New Launch,Dec 2025,"Buy 4 BHK Villa for sale in Whitefield in a gated society by Ashish ANR Row House. Some of the popular amenities available here include Swimming Pool, Gymnasium and Children's Play Area. Ashish ANR Row House is a New Launch project .These Villas possession will begin in Dec, 2025. Villas s"
Whiteland Blissville,"Sector 76, Gurgaon",3 BHK Apartment,₹ 2.04 - 2.6 Cr,Under Construction,Dec 2026,"Here are beautifully built 3 BHK apartments in Sector 76, available for sale at Whiteland Blissville. Whiteland Blissville apartments are available in multiples sizes, ranging from 1,311 - 1,672 sq.ft. SUPER area. Apartments in this complex are available in price range of Rs. 2.04 - 2.6 Cr"
Vijayakalpa Kshetra,"Tukkuguda, Hyderabad","4, 5 BHK Villa",₹ 3.18 - 4.45 Cr,New Launch,May 2026,"Vijayakalpa Kshetra brings 4,5 BHK Villa in Tukkuguda, one of the preferred locations in the city. These Villas are sized between 3,063 - 4,277 sq.ft.. Prices of Villas in Vijayakalpa Kshetra hover between Rs. 3.18 - 4.45 Cr. Vijayakalpa Kshetra is already New Launch .Families will start m"
Kohinoor Uptown Avenue,"Punawale, Pune West","2, 3 BHK Apartment",₹ 77.2 L - 1.65 Cr,New Launch,Dec 2029,"Looking for your dream home? Explore 2,3 BHK apartments in Punawale, now available in Kohinoor Uptown Avenue. Kohinoor Uptown Avenue has apartments in multiple configurations, in range of 723 - 1,276 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 77.2 L - 1.65 Cr"
Assetz 66 and Shibui,"Whitefield, Bangalore East",4 BHK Apartment,₹ 4.29 Cr,New Launch,Jun 2028,"Check out 4 BHK apartments in Whitefield, now available for sale at Assetz 66 and Shibui. Assetz 66 and Shibui has apartments in multiple configurations, in range of 2,280 sq.ft.. Assetz 66 and Shibui is a RERA- registered society and PRM/KA/RERA/1251/446/PR/300124/006601 is the RERA regis"
Joyville Celestia,"Shewalewadi, Pune East","2, 3 BHK Apartment",₹ 69.9 L - 1.2 Cr,Under Construction,Mar 2028,"Finest 2,3 BHK apartments in Shewalewadi available for sale in Joyville Celestia. Joyville Celestia has apartments in multiple configurations, in range of 591.58 - 937.32 sq.ft.. This society offers apartments in the price range of Rs. 69.9 L - 1.2 Cr. This society is RERA approved and P52"
Revasa Aura,"Isnapur, Hyderabad","2, 3 BHK Apartment",₹ 53.28 - 69.35 L,New Launch,Dec 2028,"Revasa Aura society now offers elegantly built 2,3 BHK apartments in Isnapur. Apartments in Revasa Aura have SUPER area ranging between 1,184 - 1,541 sq.ft.. Apartments in this complex are available in price range of Rs. 53.28 - 69.35 L. Revasa Aura is a RERA- registered society and P01100"
Ruchi One Victoria,"New Town, Kolkata East","3, 4 BHK Apartment",₹ 2.85 - 3.49 Cr,New Launch,Jul 2028,"Ruchi One Victoria, one of the known housing societes in Kolkata East, brings classic yet modern 3,4 BHK apartments in New Town. Ruchi One Victoria has apartments in multiple configurations, in range of 2,366 - 2,952 sq.ft.. Apartment prices in this housing society vary in the range of Rs."
Prajay Virgin County Phase 3,"Maheshwaram, Hyderabad",Land,₹ 2.23 - 2.43 Cr,New Launch,Feb 2028,"Res Land/plots Looking for Land in Maheshwaram for sale in a gated society by Prajay Virgin County Phase 3. Land in Prajay Virgin County Phase 3 are priced approximately at Rs. 2.23 - 2.43 Cr. Sizes of these property options are in the bracket of 1,719 - 1,872 sq.ft.. Land will be offered"
Earthwork Sky Breeze,"Teghoria, Kolkata North","1, 2, 3 BHK Apartment",₹ 42.77 L - 1.06 Cr,New Launch,Dec 2026,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Teghoria, available for sale in Earthwork Sky Breeze. Earthwork Sky Breeze has apartments in multiple configurations, in range of 658 - 1,630 sq.ft.. Prices of apartments in this project, vary between Rs. 42.77 L - 1.0"
The Royal Ganges,"Maheshtala, Kolkata South","2, 3 BHK Apartment | 4 BHK Villa",₹ 63.76 L - 3.39 Cr,New Launch,Apr 2028,"The Royal Ganges brings you beautifully designed 2 BHK Apartment, 3 BHK Apartment and 4 BHK Villa in Maheshtala. The Royal Ganges is a New Launch project. Swimming Pool, Gymnasium and Club House are some of the popular amenities offered in this project. Prices here start from Rs. 63.76 L"
The Rising,"Ravet, Pune West","2, 3 BHK Apartment",₹ 67.31 - 95.29 L,New Launch,Mar 2028,"Spacious 2,3 BHK apartments in Ravet are available for sale.Check out latest property options at The Rising housing society. Here units have different sizes, mostly in range of 728 - 1,096 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 67.31 - 95.29 L. The hou"
Dosti Greater Thane,"Kalher, Thane","1, 2 BHK Apartment",₹ 35.57 - 61.02 L,Under Construction,₹11102/ Sq.Ft. Oct 2025,"Finest 1,2 BHK apartments in Kalher available for sale in Dosti Greater Thane. Apartment prices in this housing society vary in the range of Rs. 35.57 - 61.02 L. Apartments in Dosti Greater Thane have CARPET area ranging between 319.37 - 452 sq.ft.. Dosti Greater Thane 's RERA registration"
Icon Ivy County,"Ramnaikanahalli, Bangalore East",Land,₹ 1.16 - 2.33 Cr,New Launch,Dec 2026,"This is your chance to invest in Land in Ramnaikanahalli. Check out Icon Ivy County, one of the best offerings in the area that too within your price range. This is your chance to invest in Land in Ramnaikanahalli. Check out Icon Ivy County, one of the best offerings in the area that too w"
Godrej 101,"Sector 79, Gurgaon","2, 3 BHK Apartment",₹ 1.45 - 4.41 Cr,Partially Ready To Move,₹ 17607 / Sq.Ft. Aug 2019,"Here are beautifully built 2,3 BHK apartments in Sector 79, available for sale at Godrej 101. Prices of apartments in this project, vary between Rs. 1.45 - 4.41 Cr. Apartments in Godrej 101 have SUPER area ranging between 1,383 - 2,506 sq.ft.. Godrej 101 is a RERA- registered society and G"
Sobha Dream Gardens,"Thanisandra, Bangalore North","1, 2 BHK Apartment",₹ 67.79 L - 1.03 Cr,Partially Ready To Move,₹ 16427 / Sq.Ft. Dec 2021,"Beautiful 1,2 BHK apartments in Thanisandra, are now available in Sobha Dream Gardens housing project. Sobha Dream Gardens apartments are available in multiples sizes, ranging from 412 - 627 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 67.79 L - 1.0"
Bhaggyam Vriddhi,"T Nagar, Chennai South",3 BHK Apartment,₹ 3.4 - 4.02 Cr,New Launch,Dec 2027,"Check out 3 BHK apartments in T Nagar, now available for sale at Bhaggyam Vriddhi. This society is RERA approved and TN/29/Building/0411/2024 is the RERA number. Prices of apartments in this project, vary between Rs. 3.4 - 4.02 Cr. Bhaggyam Vriddhi has apartments in multiple configurations"
Unnati Shree Rath Apartments,"Nizampet, Hyderabad","2, 3 BHK Apartment",₹ 66.65 L - 1.3 Cr,Under Construction,₹ 6000 / Sq.Ft. Dec 2025,"Beautiful 2,3 BHK apartments in Nizampet, are now available in Unnati Shree Rath Apartments housing project. Here units have different sizes, mostly in range of 955 - 1,805 sq.ft. SUPER area. Apartments in this complex are available in price range of Rs. 66.65 L - 1.3 Cr. Unnati Shree Rath"
Godrej Five Gardens,"Matunga, Mumbai South",3 BHK Apartment,₹ 10.25 Cr,New Launch,Dec 2028,"Godrej Five Gardens society now offers elegantly built 3 BHK apartments in Matunga. Prices of apartments in this project, vary between Rs. 10.25 Cr. Godrej Five Gardens has apartments in multiple configurations, in range of 1,039.69 - 1,496 sq.ft.. This society is RERA approved and P519000"
Shriram Codename Smash Hit,"Yelahanka, Bangalore North","2, 3 BHK Apartment",₹ 82.07 L - 1.38 Cr,New Launch,Jul 2029,"Here are beautifully built 2,3 BHK apartments in Yelahanka, available for sale at Shriram Codename Smash Hit. Shriram Codename Smash Hit is a RERA- registered society and PRM/KA/RERA/1251/309/PR/170924/007026 is the RERA registration number. Apartment prices in this housing society vary in"
Rewild Doddaballapura,"Doddaballapur, Bangalore North",Land,₹ 1.3 - 4.5 Cr,New Launch,Jun 2029,"Looking for Land in Doddaballapur? Explore great investment options in Rewild Doddaballapura. This project has some top amenities, which include Swimming Pool, Yoga/Meditation Area and Cricket Pitch among others. Land will be offered for possession from Jun, 2029. Land prices here are in t"
K City,"Keshav Nagar, Pune East","2, 3 BHK Apartment",₹ 72.25 L - 1.37 Cr,Under Construction,May 2025,"Spacious 2,3 BHK apartments in Keshav Nagar are available for sale.Check out latest property options at K City housing society. K City is a RERA- registered society and P52100026909 is the RERA registration number. Apartments in K City have CARPET area ranging between 755 - 1,296 sq.ft.. A"
Hallmark Altus,"Kondapur, Hyderabad","3, 4 BHK Apartment",₹ 1.51 - 3.89 Cr,New Launch,Jun 2029,"Looking for your dream home? Explore 3,4 BHK apartments in Kondapur, now available in Hallmark Altus. Hallmark Altus has apartments in multiple configurations, in range of 1,760 - 4,685 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 1.51 - 3.89 Cr. Hallmark Altus"
Brigade Gateway,"Kokapet, Hyderabad","3, 4 BHK Apartment",₹ 3.77 - 6.12 Cr,New Launch,Nov 2029,"Beautiful 3,4 BHK apartments in Kokapet, are now available in Brigade Gateway housing project. Apartment prices in this housing society vary in the range of Rs. 3.77 - 6.12 Cr. Brigade Gateway has apartments in multiple configurations, in range of 3,067 - 9,859 sq.ft.. This society is RERA"
Avant Heritage 5,"Jogeshwari East, Western Mumbai",2 BHK Apartment,₹ 1.68 - 1.89 Cr,New Launch,Dec 2027,"Finest 2 BHK apartments in Jogeshwari East available for sale in Avant Heritage 5. Avant Heritage 5 's RERA registration number is P51800053527. Apartments in Avant Heritage 5 have CARPET area ranging between 648 - 729 sq.ft.. Prices of apartments in this project, vary between Rs. 1.68 - 1"
V4 IRA Towers,"Nizampet, Hyderabad","2, 3 BHK Apartment",₹ 69 - 90.9 L,New Launch,Aug 2028,"Choose your dream home from the wide variety of 2,3 BHK apartments in Nizampet, available for sale in V4 IRA Towers. Apartment prices in this housing society vary in the range of Rs. 69 - 90.9 L. This society is RERA approved and P02200007156 is the RERA number. V4 IRA Towers apartments ar"
Abinandana Skylark 1,"Kollur, Hyderabad",3 BHK Apartment,₹ 73.83 L - 1.29 Cr,New Launch,Dec 2025,"Check out 3 BHK apartments in Kollur, now available for sale at Abinandana Skylark 1. Apartments in Abinandana Skylark 1 have SUPER area ranging between 1,420 - 2,485 sq.ft.. This society is RERA approved and P01100007181 is the RERA number. Apartments in this complex are available in pric"
Parkfields 2,"Tarsali , Vadodara",4 BHK Villa,Price on Request,New Launch,Dec 2028,"Parkfields 2 brings 4 BHK Villa in Tarsali , one of the preferred locations in the city. Sizes of Villas vary in 1,504.57 - 2,307.56 sq.ft.. Some of the popular amenities available here include Children's Play Area, Landscape Garden and Multipurpose Hall. Villas in Parkfields 2 are New Lau"
Omaxe Gardenia Floors,"New, Chandigarh",3 BHK Independent Floor,₹ 1.2 - 1.65 Cr,Under Construction,Jul 2027,"Check out beautifully designed 3 BHK Independent Floor in Omaxe Gardenia Floors, coming up in New. Independent Floor here will cost you between Rs. 1.2 - 1.65 Cr. Independent Floor here will be ready by Jul, 2027. Omaxe Gardenia Floors Independent Floor are sized in the bracket of 1,689 -"
Shapoorji Joyville Hadapsar Annexe,"Shewalewadi, Pune East","2, 3 BHK Apartment",₹ 69 L - 1.7 Cr,Partially Ready To Move,Feb 2024,"Finest 2,3 BHK apartments in Shewalewadi available for sale in Shapoorji Joyville Hadapsar Annexe. Apartments in Shapoorji Joyville Hadapsar Annexe have CARPET area ranging between 589 - 1,385 sq.ft.. This society is RERA approved and P52100026451 is the RERA number. This society offers ap"
Austin Yana,"Tathawade, Pune West","2, 3, 4 BHK Apartment",₹ 59.88 L - 2.14 Cr,New Launch,Dec 2029,"Spacious 2,3,4 BHK apartments in Tathawade are available for sale.Check out latest property options at Austin Yana housing society. Here units have different sizes, mostly in range of 536.9 - 1,612.34 sq.ft. CARPET area. The housing society is RERA-registered with P52100077489 registration"
Ranjekar Dhanasampada,"Erandwane, Pune Central","2, 3, 4 BHK Apartment",₹ 1.76 - 3.8 Cr,New Launch,Mar 2026,"Here are beautifully built 2,3,4 BHK apartments in Erandwane, available for sale at Ranjekar Dhanasampada. This society offers apartments in the price range of Rs. 1.76 - 3.8 Cr. Ranjekar Dhanasampada apartments are available in multiples sizes, ranging from 897 - 1,945 sq.ft. CARPET area."
DMK Stella,"Moshi, Pune North","2, 3 BHK Apartment",₹ 42.68 - 66.5 L,Partially Ready To Move,Feb 2019,"DMK Stella society now offers elegantly built 2,3 BHK apartments in Moshi. Apartments in DMK Stella have CARPET area ranging between 687 - 1,036 sq.ft.. This society offers apartments in the price range of Rs. 42.68 - 66.5 L. This society is RERA approved and P52100020978 is the RERA numbe"
Zenith Vista,"Vrindavan Yojna, Lucknow","3, 4 BHK Apartment",₹ 1.01 - 1.44 Cr,New Launch,Sep 2029,"Choose your dream home from the wide variety of 3,4 BHK apartments in Vrindavan Yojna, available for sale in Zenith Vista. Zenith Vista has apartments in multiple configurations, in range of 1,840 - 2,620 sq.ft.. This society is RERA approved and UPRERAPRJ214211/11/2024 is the RERA number."
Floresta,"Mansarovar, Jaipur","1, 2, 3, 4 BHK Apartment",₹ 88.61 L - 1.26 Cr,New Launch,Dec 2026,"Beautiful 1,2,3,4 BHK apartments in Mansarovar, are now available in Floresta housing project. This society offers apartments in the price range of Rs. 88.61 L - 1.26 Cr. Floresta apartments are available in multiples sizes, ranging from 1,611 - 2,282 sq.ft. SUPER area. Floresta 's RERA re"
Gala Ikebana,"Bodakdev, Ahmedabad West","4, 5 BHK Apartment",₹ 6.5 - 10.69 Cr,New Launch,Jul 2027,"Looking for your dream home? Explore 4,5 BHK apartments in Bodakdev, now available in Gala Ikebana. Gala Ikebana has apartments in multiple configurations, in range of 3,314.08 - 6,295 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 6.5 - 10.69 Cr. Gala Ikebana is"
Ashiana Advik,"Alwar Bypass Road, Bhiwadi","1, 2, 3 BHK Apartment | 3 BHK Villa",₹ 69.66 L - 1.07 Cr,Under Construction,Apr 2026,"Ashiana Advik has 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment options to offer in Alwar Bypass Road. Ashiana Advik possession will begin from Apr, 2026. Properties in Ashiana Advik are sized in the range of 1,262 - 1,716 sq.ft.. Swimming Pool, Gymnasium and Badminton Court are som"
Oriana Nest,"Baner, Pune West","2, 3 BHK Apartment",₹ 87.21 L - 1.39 Cr,New Launch,Dec 2025,"Oriana Nest society now offers elegantly built 2,3 BHK apartments in Baner. Prices of apartments in this project, vary between Rs. 87.21 L - 1.39 Cr. Oriana Nest 's RERA registration number is P52100052204. Oriana Nest apartments are available in multiples sizes, ranging from 661.3 - 1,121"
Kolte Patil Springshire,"Wagholi, Pune East","2, 3 BHK Apartment",₹ 71.87 - 96 L,New Launch,Mar 2028,"Spacious 2,3 BHK apartments in Wagholi are available for sale.Check out latest property options at Kolte Patil Springshire housing society. Prices of apartments in this project, vary between Rs. 71.87 - 96 L. Apartments in Kolte Patil Springshire have CARPET area ranging between 782.33 - 1"
Forum Estates Aranya Innovative Township,"New Town, Kolkata East","4, 5, 6 BHK Villa",₹ 3.9 - 8.78 Cr,New Launch,Sep 2027,"Forum Estates Aranya Innovative Township is one of the well-known housing society, offering 4,5,6 BHK Villa for sale in New Town. Prices of Villas in Forum Estates Aranya Innovative Township hover between Rs. 3.9 - 8.78 Cr. Villas size in Forum Estates Aranya Innovative Township varies fro"
Codename Pudhiya Chennai,"Poonamallee, Chennai West","1, 2, 3 BHK Apartment",₹ 29 - 49.67 L,New Launch,Jun 2028,"Codename Pudhiya Chennai society now offers elegantly built 1,2,3 BHK apartments in Poonamallee. Apartments in this complex are available in price range of Rs. 29 - 49.67 L. Codename Pudhiya Chennai has apartments in multiple configurations, in range of 604 - 1,328 sq.ft.. Codename Pudhiya"
