Property Name,Location,BHK,Price,Status,Possession,Description
Emperia C2,"Turbhe, Navi Mumbai",Bare shell Office Space | Shop,₹ 51.31 L - 4.45 Cr,New Launch,Dec 2028,"Emperia C2 brings you the opportunity to invest in Bare shell Office Space and Shop in Turbhe, Navi Mumbai. The starting price here are around Rs. 51.31 L. Emperia Builtcon is the builder of Emperia C2. The facilities available here are top-notch and unique, such as Swimming Pool, Gymnasiu"
Kamdhenu 23 West,"Kopar Khairane, Navi Mumbai",Bare shell Office Space,₹ 1 - 1.95 Cr,Partially Ready To Move,₹ 25510 / Sq.Ft. Nov 2024,"Invest in Kamdhenu 23 West Bare shell Office Space in Kopar Khairane, one of the latest offerings in Navi Mumbai real estate market. Being a Partially Ready To Move project, this project is witnessing great demand from investors . This project is owned by Kamdhenu Builders and Developers."
Casagrand Casamia,"Pallavaram, Chennai South","2, 3, 4 BHK Apartment",₹ 55 L - 1.45 Cr,New Launch,Mar 2032,"Spacious 2,3,4 BHK apartments in Pallavaram are available for sale.Check out latest property options at Casagrand Casamia housing society. Apartments in Casagrand Casamia have BUILTUP area ranging between 1,162 - 2,840 sq.ft.. This society offers apartments in the price range of Rs. 55 L -"
Elan The Emperor,"Sector 106, Gurgaon","4, 5 BHK Apartment",₹ 10.2 - 14.64 Cr,New Launch,Dec 2029,"Here are beautifully built 4,5 BHK apartments in Sector 106, available for sale at Elan The Emperor. This society is RERA approved and RC/REP/HARERA/GGM/902/634/2025/05 is the RERA number. Apartments in this complex are available in price range of Rs. 10.2 - 14.64 Cr. Here units have diffe"
Casagrand Sun City Phase 2,"Kelambakkam, Chennai South","2, 3, 4 BHK Apartment",₹ 61 L - 1.47 Cr,New Launch,Feb 2029,"Finest 2,3,4 BHK apartments in Kelambakkam available for sale in Casagrand Sun City Phase 2. This society is RERA approved and TN/35/Building/0063/2025 is the RERA number. Prices of apartments in this project, vary between Rs. 61 L - 1.47 Cr. Casagrand Sun City Phase 2 apartments are avail"
Casagrand Madelyn,"Pallavaram, Chennai South","1, 2, 3 BHK Apartment",₹ 40.9 - 96 L,New Launch,Dec 2028,"Here are beautifully built 1,2,3 BHK apartments in Pallavaram, available for sale at Casagrand Madelyn. Casagrand Madelyn is a RERA- registered society and TN/1/Building/0605/2024 is the RERA registration number. Apartment prices in this housing society vary in the range of Rs. 40.9 - 96 L"
Casagrand Jarvis,"Siruseri, Chennai South","2, 3, 4 BHK Apartment",₹ 45 L - 1.01 Cr,New Launch,Mar 2028,"Check out 2,3,4 BHK apartments in Siruseri, now available for sale at Casagrand Jarvis. Here units have different sizes, mostly in range of 1,044 - 2,515 sq.ft. BUILTUP area. This society offers apartments in the price range of Rs. 45 L - 1.01 Cr. Casagrand Jarvis 's RERA registration numb"
Casagrand Evon,"Kompally, Hyderabad","3, 4 BHK Apartment",₹ 1.6 - 2.3 Cr,New Launch,Oct 2027,"Choose your dream home from the wide variety of 3,4 BHK apartments in Kompally, available for sale in Casagrand Evon. Casagrand Evon has apartments in multiple configurations, in range of 2,076 - 2,929 sq.ft.. Casagrand Evon 's RERA registration number is P02200009350. Apartment prices in"
M3M Antalya Hills,"Sector 79, Gurgaon","2, 3 BHK Independent Floor",₹ 1.71 - 3.08 Cr,Under Construction,Dec 2025,"Buy a home of your own in M3M Antalya Hills which offers 2,3 BHK Independent Floor for sale in Sector 79. Property options in M3M Antalya Hills are sized from 1,138 - 1,557 sq.ft.. Independent Floor in this location are priced in the range of Rs. 1.71 - 3.08 Cr. These Independent Floor are"
Casagrand Cheers,"Pudupakkam Village, Chennai South","1, 2, 3 BHK Apartment",₹ 85 L - 1.09 Cr,New Launch,Dec 2027,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Pudupakkam Village, available for sale in Casagrand Cheers. The housing society is RERA-registered with TN/35/Building/0023/2025 registration number. Apartment prices in this housing society vary in the range of Rs. 85"
Casagrand Windsor Court,"Malikdanguda, Hyderabad","4, 5 BHK Villa",₹ 4.27 - 5.39 Cr,New Launch,Sep 2029,"Casagrand Windsor Court is one of the well-known housing society, offering 4,5 BHK Villa for sale in Malikdanguda. Sizes of Villas vary in 3,866 - 4,145 sq.ft.. Casagrand Windsor Court Villas are New Launch. Prices of Villas in Casagrand Windsor Court hover between Rs. 4.27 - 5.39 Cr"
Casagrand Orchards,"Kannampalayam, Coimbatore","1, 2, 3 BHK Apartment",₹ 55 - 79 L,New Launch,Nov 2026,"Casagrand Orchards, one of the known housing societes in Coimbatore, brings classic yet modern 1,2,3 BHK apartments in Kannampalayam. This society is RERA approved and TN/11/Building/0495/2024 is the RERA number. This society offers apartments in the price range of Rs. 55 - 79 L. Apartment"
Optima,"Rajarhat, Kolkata East","2, 3, 4 BHK Apartment",₹ 61.62 L - 1.36 Cr,New Launch,Dec 2029,"Spacious 2,3,4 BHK apartments in Rajarhat are available for sale.Check out latest property options at Optima housing society. Apartments in this complex are available in price range of Rs. 61.62 L - 1.36 Cr. Optima apartments are available in multiples sizes, ranging from 921 - 2,596 sq.ft"
Sobha City,"Sector 108, Gurgaon","2, 3, 4 BHK Apartment",₹ 2.76 - 7.79 Cr,Partially Ready To Move,₹ 18118 / Sq.Ft. May 2022,"Looking for your dream home? Explore 2,3,4 BHK apartments in Sector 108, now available in Sobha City. This society offers apartments in the price range of Rs. 2.76 - 7.79 Cr. This society is RERA approved and 115 OF 2017 DATED 28.08.2017 is the RERA number. Sobha City has apartments in mul"
Godrej Astra,"Sector 54, Gurgaon","3, 4 BHK Apartment",₹ 10.34 - 14.24 Cr,New Launch,Oct 2031,"Godrej Astra, one of the known housing societes in Gurgaon, brings classic yet modern 3,4 BHK apartments in Sector 54. This society offers apartments in the price range of Rs. 10.34 - 14.24 Cr. Godrej Astra apartments are available in multiples sizes, ranging from 3,050 - 4,200 sq.ft. SUPE"
Eros Sampoornam 3,"Sector 2, Greater Noida","2, 3 BHK Apartment",₹ 71.39 L - 1.84 Cr,New Launch,Dec 2028,"Eros Sampoornam 3 society now offers elegantly built 2,3 BHK apartments in Sector 2. This society is RERA approved and UPRERAPRJ512436/07/2024 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 71.39 L - 1.84 Cr. Eros Sampoornam 3 apartments are available"
Casagrand Casablanca,"Kanakapura Road, Bangalore South","3, 4, 5 BHK Apartment",₹ 1.42 - 3.6 Cr,New Launch,Jun 2027,"Beautiful 3,4,5 BHK apartments in Kanakapura Road, are now available in Casagrand Casablanca housing project. Here units have different sizes, mostly in range of 1,385 - 2,861 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 1.42 - 3.6 Cr. Casagrand Casablanca is"
Godrej Woods,"Sector 43, Noida","2, 3, 4, 5 BHK Apartment",₹ 1.77 - 12.85 Cr,Partially Ready To Move,₹ 23319 / Sq.Ft. May 2023,"Spacious 2,3,4,5 BHK apartments in Sector 43 are available for sale.Check out latest property options at Godrej Woods housing society. Godrej Woods 's RERA registration number is UPRERAPRJ704730. This society offers apartments in the price range of Rs. 1.77 - 12.85 Cr. Godrej Woods apartme"
M3M Capital,"Sector 113, Gurgaon","2, 3, 4 BHK Apartment",₹ 2.54 - 6.19 Cr,Under Construction,Jun 2026,"Looking for your dream home? Explore 2,3,4 BHK apartments in Sector 113, now available in M3M Capital. Prices of apartments in this project, vary between Rs. 2.54 - 6.19 Cr. M3M Capital has apartments in multiple configurations, in range of 1,300 - 2,298 sq.ft.. The housing society is RERA"
Nambiar District 25,"Sarjapur Road, Bangalore East","1, 2, 3, 4 BHK Apartment",₹ 93.75 L - 3.69 Cr,New Launch,Jan 2030,"Here are beautifully built 1,2,3,4 BHK apartments in Sarjapur Road, available for sale at Nambiar District 25. This society offers apartments in the price range of Rs. 93.75 L - 3.69 Cr. Nambiar District 25 apartments are available in multiples sizes, ranging from 750 - 2,950 sq.ft. SUPER"
Birla Evara,"Sarjapur Road, Bangalore East","1, 2, 3, 4 BHK Apartment",₹ 77.99 L - 2.93 Cr,New Launch,Feb 2028,"Here are beautifully built 1,2,3,4 BHK apartments in Sarjapur Road, available for sale at Birla Evara. Birla Evara apartments are available in multiples sizes, ranging from 474 - 1,736 sq.ft. CARPET area. This society is RERA approved and PRM/KA/RERA/1251/446/PR/060225/007487 is the RERA n"
Dream Ikon,"Nerul, Navi Mumbai",Bare shell Office Space | Restaurant,₹ 44.5 L - 1.09 Cr,New Launch,Dec 2027,"Check out the latest investment options in Dream Ikon, offering Bare shell Office Space and Restaurant for sale in Nerul, Navi Mumbai. This project is New Launch .It is available from Dec, 2027. Connnectivity, Connnectivity and Highway are very close to this location. The starting price he"
Ceratec Tower 108,"Balewadi, Pune West",Bare shell Office Space | Showroom,₹ 1.56 - 13.16 Cr,New Launch,Dec 2029,"Looking for investment options Pune West ? Check out Bare shell Office Space and Showroom for sale in Balewadi, Pune West. The prices here starts around Rs. 1.56 Cr. Investors may find this project extremely lucrative as it is New Launch .It will be ready by Dec, 2029"
Plutonium Business Park,"Turbhe, Navi Mumbai",Bare shell Office Space | Shop,₹ 2.99 - 12.1 Cr,New Launch,Dec 2025,"Plutonium Business Park brings you the opportunity to invest in Bare shell Office Space and Shop in Turbhe, Navi Mumbai. The starting price here are around Rs. 2.99 Cr. This project is New Launch .It is available from Dec, 2025. Turbhe is a strategic location to invest as it is close to Hi"
Ekatva Onyx,"Wagle Estate, Thane",Bare shell Office Space,₹ 49.52 L - 1.27 Cr,New Launch,Dec 2025,"Here is the best Bare shell Office Space for sale in Wagle Estate, Thane, in Ekatva Onyx. Ekatva Onyx is brought to you by Ekatva Realtors.Park, Car Parking and Gated Community are some of the top facilities offered here. Property prices here starts from Rs. 49.52 L. Being a New Launch pro"
Purvanchal Skyline Vista,"Sector 94, Noida",Ready to move Office Space | Shop,₹ 86.7 L - 3.05 Cr,New Launch,Oct 2028,"Purvanchal Skyline Vista brings you the opportunity to invest in Ready to move Office Space and Shop in Sector 94, Noida. Prices in this project starts at of Rs. 86.7 L. This location is close to ResidentialComplex, Highway and Connnectivity. This project is New Launch .It is available fro"
Sagar Nirman One Wagle,"Wagle Industrial Estate, Thane",Bare shell Office Space | Shop,₹ 67.05 L - 11.7 Cr,New Launch,Oct 2026,"Check out this new investment opportunity in Sagar Nirman One Wagle: Bare shell Office Space and Shop for sale in Wagle Industrial Estate, Thane. Highway, Connnectivity and Connnectivity are very close to this location. This project is constructed by Sagar Nirman Spaces. Some of the facili"
NMS Midas,"Belapur, Navi Mumbai",Bare shell Office Space | Shop,₹ 1.37 - 3.01 Cr,New Launch,Dec 2028,"Looking for investment options Navi Mumbai ? Check out Bare shell Office Space and Shop for sale in Belapur, Navi Mumbai. The construction of this project is being led by NMS Group. Park, Open Space and Car Parking are some of the most useful facilities available in this project. The start"
Ekatva Orbit Business Hub,"Wagle Industrial Estate, Thane",Bare shell Office Space | Shop,₹ 51.75 L - 6.32 Cr,New Launch,Dec 2028,"Ekatva Orbit Business Hub brings you the opportunity to invest in Bare shell Office Space and Shop in Wagle Industrial Estate, Thane. Prices in this project starts at of Rs. 51.75 L. Park, Conference Room and Car Parking are some of the unique amenities available in this project, which is"
Dobariya The Identity,"Gift City, Gandhinagar",Ready to move Office Space | Shop,Price on Request,New Launch,Dec 2030,"Check out the latest investment options in Dobariya The Identity, offering Ready to move Office Space and Shop for sale in Gift City, Gandhinagar. This project is New Launch .It is available from Dec, 2030"
Abinandana Emerald,"Manikonda, Hyderabad",Bare shell Office Space | Showroom | Shop,₹ 50 L - 2 Cr,New Launch,Dec 2025,"Check out the latest investment options in Abinandana Emerald, offering Bare shell Office Space, Showroom and Shop for sale in Manikonda, Hyderabad. The starting price in this project is Rs. 50 L. This complex is right now New Launch .It will be available from Dec, 2025. Abinandana Infra R"
New Pawanputra Business Point,"Pathardi Phata, Nashik",Bare shell Office Space | Showroom | Shop,Price on Request,New Launch,Dec 2025,"Check out the latest investment options in New Pawanputra Business Point, offering Bare shell Office Space, Showroom and Shop for sale in Pathardi Phata, Nashik. New Shree Riddhi Siddhi Developers is the builder of New Pawanputra Business Point. The facilities available here are top-notch"
Marigold Kailasha Awadh,"Sarojini Nagar, Lucknow",Shop | Restaurant,Price on Request,New Launch,Sep 2028,"Check out this new investment opportunity in Marigold Kailasha Awadh: Shop and Restaurant for sale in Sarojini Nagar, Lucknow. This complex is right now New Launch .It will be available from Sep, 2028"
Shivalik Curv,"Gift City, Gandhinagar",Ready to move Office Space | Shop,₹ 1.93 - 57.09 Cr,New Launch,Dec 2029,"Looking for investment options Gandhinagar ? Check out Ready to move Office Space and Shop for sale in Gift City, Gandhinagar. Connnectivity, Connnectivity and Connnectivity are very close to this location. Investors may find this project extremely lucrative as it is New Launch .It will be"
Sunrise Corporate Park,"Wagle Estate, Thane",Bare shell Office Space,₹ 63.23 L - 18 Cr,New Launch,Dec 2028,"Invest in Sunrise Corporate Park Bare shell Office Space in Wagle Estate, one of the latest offerings in Thane real estate market. Property prices here starts from Rs. 63.23 L. Being a New Launch project, this project is witnessing great demand from investors .The project will be ready for"
12 Pegasus by Asshna Developers,"Bandra Kurla Complex, Western Mumbai",Bare shell Office Space,₹ 2.31 - 2.96 Cr,New Launch,Dec 2028,"Invest in 12 Pegasus by Asshna Developers Bare shell Office Space in Bandra Kurla Complex, one of the latest offerings in Western Mumbai real estate market. This project is owned by Asshna Developers. The property comes with some of the most-demanded amenities such as Park, Car Parking and"
Kohinoor World Tower,"Pimpri Chinchwad, Pune North",Ready to move Office Space | Bare shell Office Space | Shop,₹ 1.47 - 43.3 Cr,Under Construction,Jun 2026,"Looking for investment options Pune North ? Check out Ready to move Office Space, Bare shell Office Space and Shop for sale in Pimpri Chinchwad, Pune North. Godiva Properties is the builder of Kohinoor World Tower. The facilities available here are top-notch and unique, such as Open Space,"
Escon Primera,"Zirakpur, Chandigarh","2, 3, 4, 5 BHK Apartment",₹ 1.06 - 3.51 Cr,Under Construction,₹8190/ Sq.Ft. May 2025,"Beautiful 2,3,4,5 BHK apartments in Zirakpur, are now available in Escon Primera housing project. Apartments in Escon Primera have SUPER area ranging between 1,305 - 4,285 sq.ft.. Prices of apartments in this project, vary between Rs. 1.06 - 3.51 Cr. The housing society is RERA-registered"
